Total IRAM section .iram0.text size: 95175 bytes

Function                             Size (KB)    % of IRAM   Cumulative %
xQueueGetMutexHolder                      0.04         0.04%          81.41%
xPortStartScheduler                       0.04         0.04%          81.45%
spi_flash_hal_erase_chip                  0.04         0.04%          81.49%
__retarget_lock_try_acquire               0.04         0.04%          81.53%
rtc_clk_slow_freq_get_hz                  0.04         0.04%          81.57%
xPortInIsrContext                         0.04         0.04%          81.61%
vTaskGetSnapshot                          0.04         0.04%          81.65%
spi_flash_encryption_hal_done             0.04         0.04%          81.69%
spi_flash_hal_check_status                0.04         0.04%          81.73%
spi_flash_chip_mxic_probe                 0.04         0.04%          81.77%
spi_flash_chip_mxic_opi_probe             0.04         0.04%          81.81%
esp_backtrace_print                       0.04         0.04%          81.85%
lock_init_generic                         0.04         0.04%          81.88%
spi_bus_device_is_polling                 0.04         0.04%          81.92%
prvCopyDataFromQueue                      0.04         0.04%          81.96%
vQueueDelete                              0.04         0.04%          82.00%
wDev_record_ftm_data                      0.04         0.04%          82.04%
pcTaskGetName                             0.04         0.04%          82.07%
_times_r                                  0.04         0.04%          82.11%
find_containing_heap                      0.03         0.04%          82.15%
phy_wifi_enable_set                       0.03         0.04%          82.18%
xthal_window_spill                        0.03         0.04%          82.22%
spiflash_start_default                    0.03         0.04%          82.26%
check_chip_pointer_default                0.03         0.04%          82.29%
esp_aes_complete_isr                      0.03         0.04%          82.33%
prvCopyItemNoSplit                        0.03         0.04%          82.36%
spi_flash_enable_high_performance_send_cmd       0.03         0.04%          82.40%
systimer_hal_connect_alarm_counter        0.03         0.04%          82.44%
esp_coex_common_int_disable_wrapper       0.03         0.04%          82.47%
pthread_mutex_lock                        0.03         0.04%          82.51%
prvTestWaitCondition                      0.03         0.03%          82.54%
systimer_hal_enable_counter               0.03         0.03%          82.58%
esp_psram_impl_get_available_size         0.03         0.03%          82.61%
hal_mac_txq_enable                        0.03         0.03%          82.65%
__retarget_lock_acquire                   0.03         0.03%          82.68%
__retarget_lock_acquire_recursive         0.03         0.03%          82.71%
prvGetCurMaxSizeByteBuf                   0.03         0.03%          82.75%
rtc_dig_clk8m_enable                      0.03         0.03%          82.78%
rtc_dig_clk8m_disable                     0.03         0.03%          82.82%
ram_phy_dis_hw_set_freq                   0.03         0.03%          82.85%
cache_hal_suspend                         0.03         0.03%          82.88%
spi_flash_brownout_need_reset             0.03         0.03%          82.92%
bootloader_execute_flash_command          0.03         0.03%          82.95%
apb_backup_dma_lock                       0.03         0.03%          82.98%
timer_list_unlock                         0.03         0.03%          83.02%
spi_setup_device                          0.03         0.03%          83.05%
rtc_clk_bbpll_disable                     0.03         0.03%          83.08%
prvInitialiseNewQueue                     0.03         0.03%          83.11%
xTaskGetCurrentTaskHandle                 0.03         0.03%          83.15%
regi2c_enter_critical                     0.03         0.03%          83.18%
rtc_isr_noniram_enable                    0.03         0.03%          83.21%
spi_flash_set_rom_required_regs           0.03         0.03%          83.24%
esp_psram_impl_get_physical_size          0.03         0.03%          83.28%
uxTaskPriorityGet                         0.03         0.03%          83.31%
esp_system_get_time                       0.03         0.03%          83.34%
spi_flash_encryption_hal_enable           0.03         0.03%          83.37%
spi_flash_init_chip_state                 0.03         0.03%          83.41%
vListInsertEnd                            0.03         0.03%          83.44%
timer_alarm_handler                       0.03         0.03%          83.47%
get_acquiring_dev                         0.03         0.03%          83.50%
main_flash_region_protected               0.03         0.03%          83.53%
esp_mpi_complete_isr                      0.03         0.03%          83.57%
spi_flash_encrypt_ll_type                 0.03         0.03%          83.60%
s_mxic_set_required_regs                  0.03         0.03%          83.63%
spi_flash_chip_gd_get_io_mode             0.03         0.03%          83.66%
xTaskGetTickCountFromISR                  0.03         0.03%          83.69%
systimer_hal_enable_alarm_int             0.03         0.03%          83.72%
spi_flash_chip_generic_get_io_mode        0.03         0.03%          83.75%
pm_beacon_monitor_tbtt_stop               0.03         0.03%          83.79%
end                                       0.03         0.03%          83.82%
phy_xpd_tsens                             0.03         0.03%          83.85%
esp_log_early_timestamp                   0.03         0.03%          83.88%
spi_bus_lock_get_dev_id                   0.03         0.03%          83.91%
esp_stack_ptr_in_extram                   0.03         0.03%          83.94%
apb_backup_dma_unlock                     0.03         0.03%          83.97%
wifi_sta_receive                          0.03         0.03%          84.00%
spi_device_polling_transmit               0.03         0.03%          84.03%
spi_flash_chip_issi_get_io_mode           0.03         0.03%          84.06%
regi2c_exit_critical                      0.03         0.03%          84.09%
pvTaskGetThreadLocalStoragePointer        0.03         0.03%          84.11%
esp_gpio_reserve_pins                     0.03         0.03%          84.14%
spi_bus_lock_bg_check_dev_acq             0.03         0.03%          84.17%
Cache_Freeze_DCache_Enable                0.03         0.03%          84.20%
Cache_Freeze_ICache_Enable                0.03         0.03%          84.23%
xt_ints_off                               0.03         0.03%          84.26%
vPortCleanUpCoprocArea                    0.03         0.03%          84.29%
Cache_Suspend_ICache                      0.03         0.03%          84.32%
esp_log_impl_unlock                       0.03         0.03%          84.35%
Cache_Suspend_DCache                      0.03         0.03%          84.37%
panic_enable_cache                        0.03         0.03%          84.40%
s_vaddr_to_paddr                          0.03         0.03%          84.43%
xQueueCreateMutexStatic                   0.03         0.03%          84.46%
spi_timing_get_flash_timing_param         0.03         0.03%          84.48%
xPortInterruptedFromISRContext            0.03         0.03%          84.51%
rtc_clk_recalib_bbpll                     0.03         0.03%          84.54%
spi_flash_hpm_get_dummy_generic           0.03         0.03%          84.57%
systimer_hal_init                         0.03         0.03%          84.59%
rtc_clk_8md256_enabled                    0.03         0.03%          84.62%
esp_rom_install_uart_printf               0.03         0.03%          84.65%
mspi_timing_config_psram_set_tuning_regs       0.03         0.03%          84.67%
panic_abort                               0.03         0.03%          84.70%
rtc_clk_freq_cal                          0.03         0.03%          84.73%
memspi_host_flush_cache                   0.02         0.03%          84.76%
tlsf_block_size_max                       0.02         0.03%          84.78%
wifi_realloc                              0.02         0.03%          84.81%
spi_flash_chip_gd_get_caps                0.02         0.03%          84.83%
wifi_calloc                               0.02         0.03%          84.86%
spi_flash_chip_winbond_get_caps           0.02         0.03%          84.89%
print_str                                 0.02         0.03%          84.91%
spiflash_end_default                      0.02         0.03%          84.94%
spi_flash_os_yield                        0.02         0.03%          84.96%
rtc_clk_bbpll_enable                      0.02         0.03%          84.99%
s_configure_psram_ecc                     0.02         0.03%          85.01%
prvGetDisinheritPriorityAfterTimeout       0.02         0.03%          85.04%
spi_flash_hpm_get_dummy_xmc               0.02         0.03%          85.06%
ram_phy_en_hw_set_freq                    0.02         0.03%          85.09%
sta_rx_cb                                 0.02         0.03%          85.11%
xt_ints_on                                0.02         0.03%          85.14%
spi_flash_hal_suspend                     0.02         0.03%          85.16%
spi_flash_hal_resume                      0.02         0.03%          85.19%
efuse_hal_chip_revision                   0.02         0.03%          85.21%
btbb_wifi_bb_cfg2                         0.02         0.03%          85.24%
xTaskGetCurrentTaskHandleForCPU           0.02         0.03%          85.27%
spi_flash_needs_reset_check               0.02         0.03%          85.29%
spi_flash_chip_generic_set_io_mode        0.02         0.03%          85.32%
spi_flash_hal_setup_auto_resume_mode       0.02         0.03%          85.34%
vListInitialise                           0.02         0.03%          85.37%
spi_flash_hal_disable_auto_resume_mode       0.02         0.03%          85.39%
check_lock_nonzero                        0.02         0.02%          85.42%
spi_flash_hal_gpspi_check_status          0.02         0.02%          85.44%
spi_flash_chip_generic_get_caps           0.02         0.02%          85.46%
esp_coex_common_int_restore_wrapper       0.02         0.02%          85.49%
hal_clear_rx_beacon_pti                   0.02         0.02%          85.51%
spi_flash_encryption_hal_disable          0.02         0.02%          85.54%
heap_caps_alloc_failed                    0.02         0.02%          85.56%
xQueueCreateMutex                         0.02         0.02%          85.58%
esp_opiflash_set_required_regs            0.02         0.02%          85.61%
spi_flash_chip_winbond_probe              0.02         0.02%          85.63%
esp_timer_impl_get_time                   0.02         0.02%          85.65%
tlsf_block_size                           0.02         0.02%          85.67%
esp_timer_get_time                        0.02         0.02%          85.70%
spi_hal_fetch_result                      0.02         0.02%          85.72%
xt_unhandled_interrupt                    0.02         0.02%          85.74%
s_do_unmapping                            0.02         0.02%          85.77%
queue_send_from_isr_wrapper               0.02         0.02%          85.79%
wifi_transmit_wrap                        0.02         0.02%          85.81%
spi_flash_hpm_probe_chip_with_write_hpf_bit_5       0.02         0.02%          85.83%
spi_flash_high_performance_check_hpf_bit_5       0.02         0.02%          85.85%
bootloader_read_status_8b_rdsr3           0.02         0.02%          85.88%
spi_flash_common_write_status_16b_wrsr       0.02         0.02%          85.90%
spi_flash_common_write_status_8b_wrsr       0.02         0.02%          85.92%
spi_flash_common_read_status_8b_rdsr2       0.02         0.02%          85.94%
spi_bus_lock_touch                        0.02         0.02%          85.96%
spi_flash_common_write_status_8b_wrsr2       0.02         0.02%          85.99%
spi_flash_common_read_status_8b_rdsr       0.02         0.02%          86.01%
__getreent                                0.02         0.02%          86.03%
spi1_end                                  0.02         0.02%          86.05%
zalloc_internal_wrapper                   0.02         0.02%          86.07%
calloc_internal_wrapper                   0.02         0.02%          86.09%
realloc_internal_wrapper                  0.02         0.02%          86.12%
spi_flash_high_performance_check_dummy_sr       0.02         0.02%          86.14%
calloc                                    0.02         0.02%          86.16%
ets_timer_disarm                          0.02         0.02%          86.18%
spi_bus_lock_bg_exit                      0.02         0.02%          86.20%
spi_flash_chip_issi_set_io_mode           0.02         0.02%          86.22%
wifi_malloc                               0.02         0.02%          86.24%
os_timer_disarm                           0.02         0.02%          86.26%
esp_mbedtls_mem_calloc                    0.02         0.02%          86.28%
timer_armed                               0.02         0.02%          86.30%
resume_dev                                0.02         0.02%          86.32%
start                                     0.02         0.02%          86.34%
timer_initialized                         0.02         0.02%          86.36%
__retarget_lock_release                   0.02         0.02%          86.38%
__retarget_lock_init_recursive            0.02         0.02%          86.40%
mspi_timing_config_psram_write_data       0.02         0.02%          86.42%
_lock_init                                0.02         0.02%          86.44%
spi_flash_hal_setup_read_suspend          0.02         0.02%          86.46%
mspi_timing_config_psram_read_data        0.02         0.02%          86.48%
bootloader_write_status_8b_wrsr3          0.02         0.02%          86.50%
__retarget_lock_release_recursive         0.02         0.02%          86.52%
__retarget_lock_init                      0.02         0.02%          86.54%
wifi_gpio_debug                           0.02         0.02%          86.56%
is_from_isr_wrapper                       0.02         0.02%          86.58%
timer_arm_wrapper                         0.02         0.02%          86.60%
rtc_clk_cpu_freq_to_8m                    0.02         0.02%          86.62%
spi_flash_hpm_chip_hpm_requirement_check_with_dummy       0.02         0.02%          86.64%
spi_flash_hpm_chip_hpm_requirement_check_with_write_hpf_bit_5       0.02         0.02%          86.66%
esp_coex_common_timer_arm_us_wrapper       0.02         0.02%          86.68%
panicHandler                              0.02         0.02%          86.70%
pvPortMalloc                              0.02         0.02%          86.71%
phy_dig_reg_backup                        0.02         0.02%          86.73%
wifi_softap_cur_max_ap_bss_num            0.02         0.02%          86.75%
xt_unhandled_exception                    0.02         0.02%          86.77%
spi_flash_chip_generic_read_reg           0.02         0.02%          86.79%
esp_coex_common_malloc_internal_wrapper       0.02         0.02%          86.81%
wifi_zalloc_wrapper                       0.02         0.02%          86.83%
mutex_lock_wrapper                        0.02         0.02%          86.84%
spi_flash_hpm_chip_hpm_requirement_check_with_cmd       0.02         0.02%          86.86%
realloc                                   0.02         0.02%          86.88%
systimer_ticks_to_us                      0.02         0.02%          86.90%
esp_clk_cpu_freq                          0.02         0.02%          86.92%
systimer_us_to_ticks                      0.02         0.02%          86.93%
_realloc_r                                0.02         0.02%          86.95%
delay_us                                  0.02         0.02%          86.97%
delay_us                                  0.02         0.02%          86.99%
phy_freq_mem_backup                       0.02         0.02%          87.00%
xTaskGetAffinity                          0.02         0.02%          87.02%
_lock_try_acquire_recursive               0.02         0.02%          87.04%
pm_on_tsf_timer                           0.02         0.02%          87.05%
bootloader_flash_is_octal_mode_enabled       0.02         0.02%          87.07%
_lock_try_acquire                         0.02         0.02%          87.09%
wait_freq_set_busy                        0.02         0.02%          87.10%
esp_flash_chip_driver_initialized         0.02         0.02%          87.12%
s_do_cache_invalidate                     0.01         0.02%          87.14%
prvIdleTask                               0.01         0.02%          87.15%
esp_crosscore_int_send_yield              0.01         0.02%          87.17%
esp_crosscore_int_send_print_backtrace       0.01         0.02%          87.18%
spi_flash_encryption_hal_destroy          0.01         0.02%          87.20%
spi_flash_hal_poll_cmd_done               0.01         0.02%          87.21%
_lock_release                             0.01         0.02%          87.23%
__retarget_lock_close                     0.01         0.02%          87.25%
esp_ipc_isr_stall_abort                   0.01         0.02%          87.26%
spi_flash_enable_cache                    0.01         0.02%          87.28%
_lock_release_recursive                   0.01         0.02%          87.29%
rtc_clk_cpu_set_to_default_config         0.01         0.02%          87.31%
__retarget_lock_close_recursive           0.01         0.02%          87.32%
spi_flash_encryption_hal_check            0.01         0.02%          87.34%
spi_flash_hal_gpspi_poll_cmd_done         0.01         0.02%          87.36%
spi_hal_usr_is_done                       0.01         0.02%          87.37%
esp_crosscore_int_send_twdt_abort         0.01         0.02%          87.39%
_lock_acquire                             0.01         0.01%          87.40%
tlsf_size                                 0.01         0.01%          87.42%
esp_clk_xtal_freq                         0.01         0.01%          87.43%
multi_heap_internal_lock                  0.01         0.01%          87.45%
_lock_acquire_recursive                   0.01         0.01%          87.46%
s_register_rom_function                   0.01         0.01%          87.47%
vTaskTakeKernelLock                       0.01         0.01%          87.49%
hal_random                                0.01         0.01%          87.50%
hal_pwr_interrupt_get_event               0.01         0.01%          87.52%
hal_mac_interrupt_clr_event               0.01         0.01%          87.53%
hal_pwr_interrupt_clr_event               0.01         0.01%          87.54%
xTaskGetTickCount                         0.01         0.01%          87.56%
hal_mac_interrupt_get_event               0.01         0.01%          87.57%
systimer_hal_set_tick_rate_ops            0.01         0.01%          87.58%
mspi_timing_config_get_flash_clock_reg       0.01         0.01%          87.60%
spi1_start                                0.01         0.01%          87.61%
mutex_unlock_wrapper                      0.01         0.01%          87.62%
pvalloc                                   0.01         0.01%          87.64%
esp_ptr_external_ram                      0.01         0.01%          87.65%
valloc                                    0.01         0.01%          87.66%
xPortcheckValidStackMem                   0.01         0.01%          87.67%
spi_bus_lock_bg_clear_req                 0.01         0.01%          87.69%
_malloc_r                                 0.01         0.01%          87.70%
tlsf_get_pool                             0.01         0.01%          87.71%
multi_heap_get_allocated_size             0.01         0.01%          87.72%
multi_heap_get_allocated_size_impl        0.01         0.01%          87.74%
multi_heap_internal_unlock                0.01         0.01%          87.75%
esp_ptr_dma_ext_capable                   0.01         0.01%          87.76%
spi_flash_cache_enabled                   0.01         0.01%          87.77%
malloc                                    0.01         0.01%          87.79%
main_flash_op_status                      0.01         0.01%          87.80%
rtc_clk_cpu_freq_set_xtal                 0.01         0.01%          87.81%
esp_psram_is_initialized                  0.01         0.01%          87.82%
vTaskReleaseKernelLock                    0.01         0.01%          87.83%
spi_flash_set_erasing_flag                0.01         0.01%          87.84%
spi_bus_intr_disable                      0.01         0.01%          87.86%
spi_bus_intr_enable                       0.01         0.01%          87.87%
release_buffer_malloc                     0.01         0.01%          87.88%
get_mspi_core_clock                       0.01         0.01%          87.89%
esp_flash_encryption_enabled              0.01         0.01%          87.90%
_free_r                                   0.01         0.01%          87.91%
free                                      0.01         0.01%          87.92%
vPortYieldOtherCore                       0.01         0.01%          87.93%
esp_mbedtls_mem_free                      0.01         0.01%          87.94%
ic_mac_deinit                             0.01         0.01%          87.95%
esp_coex_common_timer_disarm_wrapper       0.01         0.01%          87.96%
vPortFree                                 0.01         0.01%          87.97%
spi_flash_restore_cache                   0.01         0.01%          87.98%
spi_flash_guard_set                       0.01         0.01%          87.99%
pm_beacon_monitor_tbtt_timeout_process       0.01         0.01%          88.00%
spi_bus_lock_get_acquiring_dev            0.01         0.01%          88.01%
rtc_clk_apb_freq_update                   0.01         0.01%          88.02%
cfree                                     0.01         0.01%          88.03%
spi_flash_disable_cache                   0.01         0.01%          88.04%
vListInitialiseItem                       0.01         0.01%          88.05%
esp_timer_impl_get_min_period_us          0.01         0.01%          88.06%
cache_enable                              0.01         0.01%          88.07%
cache_disable                             0.01         0.01%          88.08%
esp_coex_common_task_yield_from_isr_wrapper       0.01         0.01%          88.09%
phy_i2c_exit_critical                     0.01         0.01%          88.10%
phy_close_rf                              0.01         0.01%          88.11%
esp_cpu_wait_for_intr                     0.01         0.01%          88.11%
phy_i2c_enter_critical                    0.01         0.01%          88.12%
esp_system_abort                          0.01         0.01%          88.13%
mmu_hal_pages_to_bytes                    0.01         0.01%          88.14%
esp_phy_common_clock_enable               0.01         0.01%          88.15%
esp_phy_common_clock_disable              0.01         0.01%          88.16%
spi_flash_chip_generic_read_unique_id_none       0.01         0.01%          88.16%
coex_status_get_wrapper                   0.01         0.01%          88.17%
coex_wifi_release_wrapper                 0.01         0.01%          88.18%
coex_event_duration_get_wrapper           0.01         0.01%          88.19%
coex_pti_get_wrapper                      0.01         0.01%          88.19%
coex_schm_interval_set_wrapper            0.01         0.01%          88.20%
get_flash_clock_divider                   0.01         0.01%          88.21%
get_psram_clock_divider                   0.01         0.01%          88.22%
xTimerCreateTimerTask                     0.01         0.01%          88.22%
spi_flash_chip_generic_probe              0.01         0.01%          88.23%
multi_heap_set_lock                       0.01         0.01%          88.24%
esp_psram_impl_get_cs_io                  0.01         0.01%          88.24%
tlsf_alloc_overhead                       0.01         0.01%          88.25%
spi_timing_is_tuned                       0.01         0.01%          88.26%
esp_coex_common_env_is_chip_wrapper       0.01         0.01%          88.27%
spi_flash_chip_boya_get_caps              0.01         0.01%          88.27%
spi_flash_hal_gpspi_supports_direct_write       0.01         0.01%          88.28%
spi_flash_chip_xmic_opi_set_io_mode       0.01         0.01%          88.29%
spi_flash_chip_mxic_opi_get_caps          0.01         0.01%          88.30%
spi_flash_hal_gpspi_supports_direct_read       0.01         0.01%          88.30%
spi_flash_chip_issi_get_caps              0.01         0.01%          88.31%
mspi_timing_config_get_core_clock         0.01         0.01%          88.32%
spi_flash_chip_th_get_caps                0.01         0.01%          88.33%
spi_flash_chip_mxic_get_caps              0.01         0.01%          88.33%
select_best_tuning_config_str             0.01         0.01%          88.34%
task_ms_to_tick_wrapper                   0.00         0.01%          88.34%
wifi_apb80m_request_wrapper               0.00         0.01%          88.35%
wifi_apb80m_release_wrapper               0.00         0.01%          88.36%
wifi_rtc_enable_iso_wrapper               0.00         0.01%          88.36%
wifi_rtc_disable_iso_wrapper              0.00         0.01%          88.37%
esp_empty_wrapper                         0.00         0.01%          88.37%
newlib_include_heap_impl                  0.00         0.01%          88.38%
newlib_include_assert_impl                0.00         0.01%          88.38%
pm_hmac_rx_data_process                   0.00         0.01%          88.39%
mspi_timing_flash_tuning                  0.00         0.01%          88.39%
__ubsan_include                           0.00         0.01%          88.40%
                                          0.00         0.00%          88.40%
_xt_debugexception                        0.00         0.00%          88.40%
_xt_kernel_exc                            0.00         0.00%          88.40%
_xt_user_exc                              0.00         0.00%          88.40%
_xt_to_alloca_exc                         0.00         0.00%          88.40%
_xt_to_syscall_exc                        0.00         0.00%          88.40%
_xt_syscall_exc                           0.00         0.00%          88.40%
_xt_to_coproc_exc                         0.00         0.00%          88.40%
_xt_coproc_exc                            0.00         0.00%          88.40%
_xt_handle_exc                            0.00         0.00%          88.40%
_xt_lowint1                               0.00         0.00%          88.40%
_xt_medint2                               0.00         0.00%          88.40%
_xt_medint3                               0.00         0.00%          88.40%
_xt_highint4                              0.00         0.00%          88.40%
_xt_highint5                              0.00         0.00%          88.40%
_xt_nmi                                   0.00         0.00%          88.40%
jump_to_esp_ipc_isr_handler               0.00         0.00%          88.40%
_wait_freeze_done                         0.00         0.00%          88.40%
_wait_writeback_done                      0.00         0.00%          88.40%
_wait_unfreeze_done                       0.00         0.00%          88.40%
esp_backtrace_get_start                   0.00         0.00%          88.40%
_xt_medint2_exit                          0.00         0.00%          88.40%
_frxt_dispatch                            0.00         0.00%          88.40%
_xt_coproc_init                           0.00         0.00%          88.40%
_xt_user_exit                             0.00         0.00%          88.40%
_xt_context_save                          0.00         0.00%          88.40%
xt_highint4                               0.00         0.00%          88.40%
_frxt_setup_switch                        0.00         0.00%          88.40%
_frxt_int_enter                           0.00         0.00%          88.40%
xthal_spill_registers_into_stack_nw       0.00         0.00%          88.40%
xt_nmi                                    0.00         0.00%          88.40%
_xt_coproc_restorecs                      0.00         0.00%          88.40%
_xt_coproc_release                        0.00         0.00%          88.40%
xt_debugexception                         0.00         0.00%          88.40%
vPortYieldFromInt                         0.00         0.00%          88.40%
_xt_context_restore                       0.00         0.00%          88.40%
_xt_panic                                 0.00         0.00%          88.40%
vPortYield                                0.00         0.00%          88.40%
esp_ipc_isr_handler                       0.00         0.00%          88.40%
xt_highint5                               0.00         0.00%          88.40%
_frxt_int_exit                            0.00         0.00%          88.40%
_xt_coproc_savecs                         0.00         0.00%          88.40%
ld_include_highint_hdl                    0.00         0.00%          88.40%
_frxt_coproc_exc_hook                     0.00         0.00%          88.40%
_frxt_task_coproc_state                   0.00         0.00%          88.40%
_xt_medint3_exit                          0.00         0.00%          88.40%
