Total IRAM section .iram0.text size: 95175 bytes

Function                             Size (KB)    % of IRAM   Cumulative %
ram_agc_reg_init                          0.18         0.20%          45.78%
xTaskCheckForTimeOut                      0.18         0.20%          45.98%
spi_flash_chip_generic_read               0.18         0.19%          46.17%
spi_device_polling_end                    0.18         0.19%          46.36%
esp_rom_uart_set_clock_baudrate           0.18         0.19%          46.55%
spi_bus_lock_wait_bg_done                 0.18         0.19%          46.74%
rcGetSched                                0.17         0.19%          46.93%
esp_app_get_elf_sha256                    0.17         0.19%          47.12%
xQueueGenericCreateStatic                 0.17         0.18%          47.30%
i2c_hal_master_handle_rx_event            0.17         0.18%          47.49%
rtc_clk_32k_enable_external               0.17         0.18%          47.67%
spi_flash_chip_generic_write              0.17         0.18%          47.86%
spi_flash_chip_mxic_opi_write             0.17         0.18%          48.04%
i2c_hal_master_handle_tx_event            0.17         0.18%          48.23%
prvCheckItemFitsDefault                   0.17         0.18%          48.41%
vTaskPriorityDisinheritAfterTimeout       0.17         0.18%          48.59%
pm_tbtt_process                           0.17         0.18%          48.77%
heap_caps_malloc_base                     0.17         0.18%          48.95%
prvReceiveGenericFromISR                  0.17         0.18%          49.13%
pm_on_beacon_rx                           0.17         0.18%          49.31%
pm_scale_listen_interval                  0.17         0.18%          49.49%
prvAcquireItemNoSplit                     0.17         0.18%          49.67%
ram_fe_i2c_reg_renew                      0.17         0.18%          49.85%
spi_timing_config_get_dummy               0.17         0.18%          50.03%
s_set_flash_ouput_driver_strength         0.16         0.18%          50.20%
esp_backtrace_get_next_frame              0.16         0.18%          50.38%
mspi_timing_config_flash_set_din_mode_num       0.16         0.18%          50.56%
mspi_timing_config_psram_set_din_mode_num       0.16         0.18%          50.73%
xTaskPriorityDisinherit                   0.16         0.18%          50.91%
xQueueGenericReset                        0.16         0.17%          51.08%
lock_acquire_generic                      0.16         0.17%          51.26%
xEventGroupSetBits                        0.16         0.17%          51.43%
spi_flash_common_set_io_mode              0.16         0.17%          51.60%
setup_priv_desc                           0.16         0.17%          51.77%
ram_wifi_tx_dig_gain_reg                  0.16         0.17%          51.94%
spi_ll_master_set_mode                    0.15         0.17%          52.11%
schedule_core                             0.15         0.16%          52.27%
prvTaskPriorityRaise                      0.15         0.16%          52.43%
rtc_clk_8m_enable                         0.15         0.16%          52.60%
s_get_psram_mode_reg                      0.15         0.16%          52.76%
prvNotifyQueueSetContainer                0.15         0.16%          52.93%
call_start_cpu1                           0.15         0.16%          53.09%
Cache_WriteBack_Addr                      0.15         0.16%          53.25%
pxPortInitialiseStack                     0.15         0.16%          53.41%
prvTaskPriorityRestore                    0.15         0.16%          53.57%
acquire_end_core                          0.15         0.16%          53.73%
xTaskIncrementTickOtherCores              0.15         0.16%          53.89%
ipc_task                                  0.15         0.16%          54.05%
prvCheckTasksWaitingTermination           0.15         0.16%          54.21%
spi_flash_chip_generic_read_unique_id       0.15         0.16%          54.37%
rtc_clk_slow_src_set                      0.15         0.16%          54.53%
spi_flash_enable_interrupts_caches_and_other_cpu       0.15         0.16%          54.68%
timer_insert                              0.14         0.16%          54.84%
spi_flash_chip_generic_wait_idle          0.14         0.16%          54.99%
bootloader_flash_reset_chip               0.14         0.16%          55.15%
prvCopyDataToQueue                        0.14         0.15%          55.30%
xQueueReceiveFromISR                      0.14         0.15%          55.46%
wDev_ProcessFiq                           0.14         0.15%          55.61%
s_init_psram_mode_reg                     0.14         0.15%          55.77%
pm_rx_beacon_process                      0.14         0.15%          55.92%
spi_flash_chip_generic_erase_block        0.14         0.15%          56.07%
spi_flash_chip_generic_erase_sector       0.14         0.15%          56.22%
prvCreateIdleTasks                        0.14         0.15%          56.37%
abort                                     0.14         0.15%          56.52%
detect_spi_flash_chip                     0.14         0.15%          56.67%
prvCheckForYieldUsingPrioritySMP          0.14         0.15%          56.81%
xQueueGenericCreate                       0.14         0.15%          56.96%
vPortExitCritical                         0.14         0.15%          57.11%
spi_flash_chip_generic_erase_chip         0.14         0.15%          57.25%
heap_caps_malloc_prefer                   0.14         0.15%          57.40%
do_multicore_settings                     0.14         0.15%          57.55%
